YEAR,PARTY,CONTESTED,SEATS_WON,VOTES_WON,PCT_VOTES_WON,CONVERSION_RATIO,MEDIAN_MARGIN,MEDIAN_PCT_MARGIN,WOMEN_CANDS,WOMEN_WINNERS
1989,MUL,13,1,80612,0.441518248,1.24E-05,4597,3.555022813,0,0
1989,LKD(B),15,0,4812,0.026355702,0,,,2,0
1989,BRP,3,0,7848,0.042984112,0,,,0,0
1989,ADMK,1,1,32928,0.180349239,3.04E-05,20736,32.20075781,0,0
1989,SUCI,1,0,526,0.002880943,0,,,1,0
1989,SRP,4,0,720,0.003943496,0,,,0,0
1989,BSP,5,0,7856,0.043027928,0,,,0,0
1989,KNP,1,0,48,0.0002629,0,,,0,0
1989,SSD,1,0,475,0.002601612,0,,,0,0
1994,JD,221,115,6944464,33.53970497,1.66E-05,12633,15.44347826,9,6
1994,INC,221,34,5580473,26.9520323,6.09E-06,5907.5,6.271351867,14,0
1994,IND,1256,18,1999718,9.658045854,9.00E-06,8436.5,8.941085111,62,0
1994,BJP,223,40,3517119,16.98664341,1.14E-05,9233.5,10.57896865,12,1
1994,BSP,77,1,160607,0.775684257,6.23E-06,3552,3.654320988,3,0
1994,KCP,218,10,1513290,7.308742638,6.61E-06,5238.5,6.241234122,10,0
1994,KCVP,42,1,36252,0.175086426,2.76E-05,5982,5.635421573,1,0
1994,RPI,11,0,4557,0.022008961,0,,,1,0
1994,KRRS,88,1,468109,2.26082787,2.14E-06,12584,11.82495607,0,0
1994,SP,40,0,65501,0.316350436,0,,,3,0
1994,KRS,20,0,79944,0.38610585,0,,,0,0
1994,JP,36,0,33895,0.163702814,0,,,2,0
1994,CPM,13,1,101982,0.492542865,9.81E-06,6446,7.249049729,0,0
1994,INL,2,1,60802,0.293655657,1.64E-05,17890,13.51708714,0,0
1994,IUML,2,0,811,0.00391689,0,,,0,0
1994,CPI,8,0,46819,0.226121908,0,,,0,0
1994,BAMS,1,0,497,0.002400363,0,,,0,0
1994,RPI(K),3,0,447,0.002158878,0,,,0,0
1994,SJP,6,0,8913,0.043047151,0,,,0,0
1994,BRP,2,1,27390,0.13228559,3.65E-05,9409,14.79588628,0,0
1994,ADMK,4,1,50696,0.24484667,1.97E-05,2666,4.300763039,0,0
1994,KP,2,0,1532,0.007399106,0,,,0,0
1994,KDP,1,0,1385,0.00668914,0,,,0,0
1999,BJP,149,44,4598741,20.69128347,9.57E-06,7362,7.376215512,4,0
1999,INC,222,132,9077815,40.84414483,1.45E-05,11754.5,11.97048646,13,6
1999,IND,476,19,2666444,11.99722895,7.13E-06,15662,13.2635807,24,0
1999,NCP,8,0,23449,0.105504943,0,,,0,0
1999,JD(S),203,10,2316885,10.42444536,4.32E-06,3375,3.673795335,11,0
1999,BSP,85,0,208820,0.939551458,0,,,2,0
1999,ABHS,1,0,177,0.000796383,0,,,0,0
1999,RPI,2,0,17207,0.077420084,0,,,0,0
1999,JD(U),112,18,3006253,13.526144,5.99E-06,7430,7.054575568,4,0
1999,SP,13,0,12659,0.056957101,0,,,0,0
1999,CPM,10,0,84979,0.382349121,0,,,0,0
1999,CPI,8,0,27730,0.124766603,0,,,0,0
1999,KRRS,9,0,89594,0.403113559,0,,,0,0
1999,PPOI,1,0,836,0.003761445,0,,,0,0
1999,ADMK,13,1,39865,0.179366052,2.51E-05,3747,6.188376356,2,0
1999,KCVP,10,0,37680,0.169535001,0,,,2,0
1999,RJD,3,0,451,0.002029201,0,,,0,0
1999,AJBP,3,0,824,0.003707453,0,,,0,0
1999,CPI(ML)(L),3,0,3692,0.016611551,0,,,0,0
1999,SYP,1,0,2764,0.012436166,0,,,0,0
1999,BRPP,7,0,8280,0.037254507,0,,,0,0
1999,ABJS,1,0,101,0.000454433,0,,,0,0
1999,ABHM,1,0,253,0.001138332,0,,,0,0
2004,INC,224,65,8861959,35.26577152,7.33E-06,10107,9.334952111,7,1
2004,BJP,198,79,7118658,28.32838276,1.11E-05,8645,8.944373643,9,2
2004,JP,155,0,504932,2.009354426,0,,,13,0
2004,IND,442,13,1724480,6.862491427,7.54E-06,9332,8.591713436,38,0
2004,JD(S),220,58,5220121,20.77323924,1.11E-05,11030.5,9.579104044,4,2
2004,BSP,102,0,437564,1.741266468,0,,,4,0
2004,KNDP,188,1,330547,1.315397078,3.03E-06,2875,2.546839704,12,0
2004,SHS,11,0,47805,0.19023787,0,,,0,0
2004,ANC,2,0,1155,0.004596271,0,,,0,0
2004,SP,15,0,11028,0.043885435,0,,,0,0
2004,USYP,65,0,65121,0.259146122,0,,,3,0
2004,RPI,3,1,25379,0.100994601,3.94E-05,9107,16.89202975,0,0
2004,CPM,5,1,92081,0.366432242,1.09E-05,11135,10.13691896,0,0
2004,JD(U),26,5,517904,2.060975923,9.65E-06,10194,8.33694541,2,1
2004,CPI,5,0,26223,0.104353262,0,,,1,0
2004,KCVP,5,1,38687,0.153953195,2.58E-05,10483,9.061284467,0,0
2004,MUL,6,0,3698,0.014716026,0,,,1,0
2004,USP,2,0,1198,0.004767388,0,,,0,0
2004,BPNSNP,1,0,189,0.000752117,0,,,1,0
2004,RPI(A),9,0,8483,0.033757721,0,,,0,0
2004,AIFB,1,0,657,0.002614502,0,,,0,0
2004,LJNSP,4,0,3775,0.015022445,0,,,1,0
2004,CPI(ML)(L),2,0,2323,0.009244275,0,,,0,0
2004,PPI,1,0,2058,0.008189719,0,,,1,0
2004,PPOI,3,0,2866,0.011405119,0,,,1,0
2004,KRRS,10,0,52874,0.21040973,0,,,0,0
