ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Karnataka,1962,99,4,HOLALKERE,SC,A. T. THIMMAPA,M,,,IND,766
Karnataka,1962,100,1,HIRIYUR,GEN,V. MASIYAPPA,M,,,INC,29018
Karnataka,1962,100,2,HIRIYUR,GEN,P. T. ESWARAPPA,M,,,PSP,11655
Karnataka,1962,100,3,HIRIYUR,GEN,B. PATHAPPA,M,,,IND,8545
Karnataka,1962,100,4,HIRIYUR,GEN,DURGAPA,M,,,IND,1012
Karnataka,1962,100,5,HIRIYUR,GEN,H. M. A. KHANDER,M,,,SWA,833
Karnataka,1962,101,1,HOSADURGA,GEN,G. T. RANGAPPA,M,,,PSP,22024
Karnataka,1962,101,2,HOSADURGA,GEN,S. NIJALINGAPPA,M,,,INC,16315
Karnataka,1962,102,1,CHANNAGIRI,GEN,KUNDUR RUDRAPPA,M,,,INC,21368
Karnataka,1962,102,2,CHANNAGIRI,GEN,J. H. PATEL,M,,,SOC,14041
Karnataka,1962,102,3,CHANNAGIRI,GEN,S. P. SEETHARAMAIAH,M,,,JS,1196
Karnataka,1962,103,1,BHADRAVATI,GEN,T. D. DEVENDRAPPA,M,,,INC,19604
Karnataka,1962,103,2,BHADRAVATI,GEN,B. KRISHNA BHATT,M,,,PSP,15256
Karnataka,1962,103,3,BHADRAVATI,GEN,K. R. KENCHAPPA,M,,,JS,2051
Karnataka,1962,103,4,BHADRAVATI,GEN,S. M. VENKATAPPA,M,,,CPI,1104
Karnataka,1962,104,1,SHIMOGA,GEN,RATNAMMA MADHAVA RAO,F,,,INC,14087
Karnataka,1962,104,2,SHIMOGA,GEN,G. M. CHANNAPPA,M,,,PSP,9011
Karnataka,1962,104,3,SHIMOGA,GEN,C. L. RAMANNA,M,,,JS,8602
Karnataka,1962,105,1,HONNALI,GEN,D. PARAMESWARAPPA,M,,,PSP,20192
Karnataka,1962,105,2,HONNALI,GEN,H. S. RUDRAPPA,M,,,INC,14475
