,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2133,Karnataka,1972,51,2,GUBBI,GEN,S. REVANNA,M,,,NCO,17187.0
2134,Karnataka,1972,52,1,CHIKNAYAKANHALLI,GEN,N. BASAVAIAH,M,,,NCO,21335.0
2135,Karnataka,1972,52,2,CHIKNAYAKANHALLI,GEN,A. B. MARIAPPA,M,,,INC,19445.0
2136,Karnataka,1972,52,3,CHIKNAYAKANHALLI,GEN,K. L. NANANJAIAH,M,,,IND,1134.0
2137,Karnataka,1972,53,1,TIPTUR,GEN,T. M. MANJUNATH,M,,,NCO,33192.0
2138,Karnataka,1972,53,2,TIPTUR,GEN,V. L. SIVAPPA,M,,,INC,15287.0
2139,Karnataka,1972,53,3,TIPTUR,GEN,CHOWDRI SHANKAR,M,,,IND,3295.0
2140,Karnataka,1972,53,4,TIPTUR,GEN,KAA BORAPA,M,,,BJS,1654.0
2141,Karnataka,1972,53,5,TIPTUR,GEN,K. P. REVANASIDDAPPA,M,,,IND,513.0
2142,Karnataka,1972,53,6,TIPTUR,GEN,P. C. SHIVANANJAPPA,M,,,SOP,321.0
2143,Karnataka,1972,54,1,TURUVEKERE,GEN,B. BHYRAPPAJI,M,,,INC,30990.0
2144,Karnataka,1972,54,2,TURUVEKERE,GEN,T. SIVANNA,M,,,NCO,16157.0
2145,Karnataka,1972,54,3,TURUVEKERE,GEN,B. SEETHARAMAIAH,M,,,SWA,1141.0
2146,Karnataka,1972,55,1,KUNIGAL,GEN,ANDANAIAH,M,,,INC,23499.0
2147,Karnataka,1972,55,2,KUNIGAL,GEN,MOHAMMAD GAIBAN KHAN,M,,,NCO,11200.0
2148,Karnataka,1972,56,1,HULIYURDURGA,GEN,N. HUCHAMASTHY GOWDA,M,,,INC,27591.0
2149,Karnataka,1972,56,2,HULIYURDURGA,GEN,D. T. AYANNA,M,,,NCO,11828.0
2150,Karnataka,1972,57,1,GULUR,SC,DODDATHIMMAIAH,M,,,INC,18307.0
2151,Karnataka,1972,57,2,GULUR,SC,GANGABOVI,M,,,NCO,15448.0
2152,Karnataka,1972,57,3,GULUR,SC,CHIKKAMARIYAPPA,M,,,BJS,1056.0
2153,Karnataka,1972,58,1,TUMKUR,GEN,K. ABDUL SUBHAN,M,,,INC,11547.0
2154,Karnataka,1972,58,2,TUMKUR,GEN,S. MALLIKARJUNAIAH,M,,,BJS,9464.0
2155,Karnataka,1972,58,3,TUMKUR,GEN,S. H. KRISHNE GOWDA,M,,,IND,6531.0
2156,Karnataka,1972,58,4,TUMKUR,GEN,T. S. L. MURTHY,M,,,NCO,4646.0
2157,Karnataka,1972,58,5,TUMKUR,GEN,MUMTAJ AHMED,M,,,IND,557.0
2158,Karnataka,1972,58,6,TUMKUR,GEN,S. RAMAIAH,M,,,IND,542.0
2159,Karnataka,1972,58,7,TUMKUR,GEN,T. G. SIDDALINGAIAH,M,,,IND,134.0
2160,Karnataka,1972,59,1,KORATAGERE,GEN,MUDDARAMAIAH,M,,,INC,20998.0
2161,Karnataka,1972,59,2,KORATAGERE,GEN,T. H. HANUMANTHARAYAPPA,M,,,IND,7564.0
2162,Karnataka,1972,59,3,KORATAGERE,GEN,T. R. CHANNAPPA,M,,,SOP,6309.0
2163,Karnataka,1972,59,4,KORATAGERE,GEN,VEERANNA,M,,,BJS,5483.0
2164,Karnataka,1972,59,5,KORATAGERE,GEN,L. RAJU,M,,,IND,577.0
2165,Karnataka,1972,60,1,MADHUGIRI,GEN,CHIKKAIAH R.,M,,,INC,24071.0
2166,Karnataka,1972,60,2,MADHUGIRI,GEN,M.N. NAGABHUSHANA,M,,,NCO,19425.0
2167,Karnataka,1972,61,1,GAURIBIDANUR,GEN,V. KRISHNA RAO,M,,,INC,30469.0
2168,Karnataka,1972,61,2,GAURIBIDANUR,GEN,R. N. LAKSHMIPATHI,M,,,NCO,19556.0
2169,Karnataka,1972,61,3,GAURIBIDANUR,GEN,T. M. ANJAIAH SETTY,M,,,IND,477.0
2170,Karnataka,1972,61,4,GAURIBIDANUR,GEN,SEETHARAMA REDDY,M,,,BJS,365.0
2171,Karnataka,1972,62,1,CHIKKABALLAPUR,GEN,C. V. VENKATARAYAPPA,M,,,INC,27804.0
2172,Karnataka,1972,62,2,CHIKKABALLAPUR,GEN,R. B. PILLAPPA,M,,,IND,20733.0
2173,Karnataka,1972,62,3,CHIKKABALLAPUR,GEN,T. M. RAMARAO,M,,,BJS,1261.0
2174,Karnataka,1972,63,1,SIDLAGHATTA,GEN,J. VENKATAPPA,M,,,INC,31308.0
2175,Karnataka,1972,63,2,SIDLAGHATTA,GEN,B. VENKATARAYAPPA,M,,,IND,16874.0
2176,Karnataka,1972,63,3,SIDLAGHATTA,GEN,G. PAPANNA,M,,,CPM,3299.0
2177,Karnataka,1972,64,1,BAGEPALLI,SC,RENUKA RAJENDRAN,M,,,INC,19461.0
2178,Karnataka,1972,64,2,BAGEPALLI,SC,A. MUNIYAPPA,M,,,IND,6890.0
2179,Karnataka,1972,64,3,BAGEPALLI,SC,G. NARAYANASWAMY,M,,,IND,5317.0
2180,Karnataka,1972,64,4,BAGEPALLI,SC,N. MUNISWAMY,M,,,IND,2253.0
2181,Karnataka,1972,64,5,BAGEPALLI,SC,M. RAMAIAH,M,,,NCO,1460.0
2182,Karnataka,1972,65,1,CHINTAMANI,GEN,CHOWDA REDDY,M,,,IND,30277.0
2183,Karnataka,1972,65,2,CHINTAMANI,GEN,V. SEETHAPPA,M,,,INC,22402.0
2184,Karnataka,1972,65,3,CHINTAMANI,GEN,C. V. A. NARAYANA REDDY,M,,,CPM,2099.0
2185,Karnataka,1972,65,4,CHINTAMANI,GEN,M. R. SESHAGIRI,M,,,NCO,1576.0
2186,Karnataka,1972,66,1,SRINIVASPUR,GEN,S. BACHI REDDY,M,,,NCO,29616.0
2187,Karnataka,1972,66,2,SRINIVASPUR,GEN,H SYED ABDUL ALEEM,M,,,INC,11728.0
2188,Karnataka,1972,67,1,MULBAGAL,SC,P. MUNIYAPPA,M,,,IND,17112.0
2189,Karnataka,1972,67,2,MULBAGAL,SC,BUCHAPPA,M,,,NCO,11097.0
2190,Karnataka,1972,67,3,MULBAGAL,SC,V VENKATAMUNI,M,,,INC,8062.0
2191,Karnataka,1972,68,1,KOLAR GOLD FIELD,SC,C. M. ARUMUGAM,M,,,IND,16077.0
2192,Karnataka,1972,68,2,KOLAR GOLD FIELD,SC,A. K. SELVARAJ,M,,,INC,14317.0
2193,Karnataka,1972,68,3,KOLAR GOLD FIELD,SC,A. MUNISWAMY,M,,,CPM,3453.0
2194,Karnataka,1972,68,4,KOLAR GOLD FIELD,SC,G. DEVARAJ,M,,,IND,1831.0
2195,Karnataka,1972,68,5,KOLAR GOLD FIELD,SC,S. R. SHANMUGAM,M,,,NCO,809.0
